User Interface Language Code Identifier|20% - Accent1|20% - Accent2|20% - Accent3|20% - Accent4|20% - Accent5|20% - Accent6|40% - Accent1|40% - Accent2|40% - Accent3|40% - Accent4|40% - Accent5|40% - Accent6|60% - Accent1|60% - Accent2|60% - Accent3|60% - Accent4|60% - Accent5|60% - Accent6|Accent1|Accent2|Accent3|Accent4|Accent5|Accent6|Bad|Calculation|Check Cell|Comma|Comma [0]|Currency|Currency [0]|Explanatory Text|Good|Heading 1|Heading 2|Heading 3|Heading 4|Input|Linked Cell|Neutral|Normal|Note|Output|Percent|Title|Total|Warning Text
1045|20% — akcent 1|20% — akcent 2|20% — akcent 3|20% — akcent 4|20% — akcent 5|20% — akcent 6|40% — akcent 1|40% — akcent 2|40% — akcent 3|40% — akcent 4|40% — akcent 5|40% — akcent 6|60% — akcent 1|60% — akcent 2|60% — akcent 3|60% — akcent 4|60% — akcent 5|60% — akcent 6|Akcent 1|Akcent 2|Akcent 3|Akcent 4|Akcent 5|Akcent 6|Zły|Obliczenia|Komórka zaznaczona|Dziesiętny|Dziesiętny [0]|Walutowy|Walutowy [0]|Tekst objaśnienia|Dobry|Nagłówek 1|Nagłówek 2|Nagłówek 3|Nagłówek 4|Dane wejściowe|Komórka połączona|Neutralny|Normalny|Uwaga|Dane wyjściowe|Procentowy|Tytuł|Suma|Tekst ostrzeżenia
1046|20% - Ênfase1|20% - Ênfase2|20% - Ênfase3|20% - Ênfase4|20% - Ênfase5|20% - Ênfase6|40% - Ênfase1|40% - Ênfase2|40% - Ênfase3|40% - Ênfase4|40% - Ênfase5|40% - Ênfase6|60% - Ênfase1|60% - Ênfase2|60% - Ênfase3|60% - Ênfase4|60% - Ênfase5|60% - Ênfase6|Ênfase1|Ênfase2|Ênfase3|Ênfase4|Ênfase5|Ênfase6|Ruim|Cálculo|Célula de Verificação|Vírgula|Separador de milhares [0]|Moeda|Moeda [0]|Texto Explicativo|Bom|Título 1|Título 2|Título 3|Título 4|Entrada|Célula Vinculada|Neutro|Normal|Nota|Saída|Porcentagem|Título|Total|Texto de Aviso
1048|20% - Accent1|20% - Accent2|20% - Accent3|20% - Accent4|20% - Accent5|20% - Accent6|40% - Accent1|40% - Accent2|40% - Accent3|40% - Accent4|40% - Accent5|40% - Accent6|60% - Accent1|60% - Accent2|60% - Accent3|60% - Accent4|60% - Accent5|60% - Accent6|Accent1|Accent2|Accent3|Accent4|Accent5|Accent6|Eronat|Calcul|Verificare celulă|Virgulă|Virgulă [0]|Monedă|Monedă [0]|Text explicativ|Bun|Titlu 1|Titlu 2|Titlu 3|Titlu 4|Intrare|Celulă legată|Neutru|Normal|Notă|Ieșire|Procent|Titlu|Total|Text avertisment
1049|20% — акцент1|20% — акцент2|20% — акцент3|20% — акцент4|20% — акцент5|20% — акцент6|40% — акцент1|40% — акцент2|40% — акцент3|40% — акцент4|40% — акцент5|40% — акцент6|60% — акцент1|60% — акцент2|60% — акцент3|60% — акцент4|60% — акцент5|60% — акцент6|Акцент1|Акцент2|Акцент3|Акцент4|Акцент5|Акцент6|Плохой|Вычисление|Контрольная ячейка|Финансовый|Финансовый [0]|Денежный|Денежный [0]|Пояснение|Хороший|Заголовок 1|Заголовок 2|Заголовок 3|Заголовок 4|Ввод |Связанная ячейка|Нейтральный|Обычный|Примечание|Вывод|Процентный|Название|Итог|Текст предупреждения
1050|20% - Isticanje1|20% - Isticanje2|20% - Isticanje3|20% - Isticanje4|20% - Isticanje5|20% - Isticanje6|40% - Isticanje1|40% - Isticanje2|40% - Isticanje3|40% - Isticanje4|40% - Isticanje5|40% - Isticanje6|60% - Isticanje1|60% - Isticanje2|60% - Isticanje3|60% - Isticanje4|60% - Isticanje5|60% - Isticanje6|Isticanje1|Isticanje2|Isticanje3|Isticanje4|Isticanje5|Isticanje6|Loše|Izračun|Provjera ćelije|Zarez|Zarez [0]|Valuta|Valuta [0]|Tekst objašnjenja|Dobro|Naslov 1|Naslov 2|Naslov 3|Naslov 4|Unos|Povezana ćelija|Neutralno|Normalno|Bilješka|Izlaz|Postotak|Naslov|Ukupni zbroj|Tekst upozorenja
1051|20 % - zvýraznenie1|20 % - zvýraznenie2|20 % - zvýraznenie3|20 % - zvýraznenie4|20 % - zvýraznenie5|20 % - zvýraznenie6|40 % - zvýraznenie1|40 % - zvýraznenie2|40 % - zvýraznenie3|40 % - zvýraznenie4|40 % - zvýraznenie5|40 % - zvýraznenie6|60 % - zvýraznenie1|60 % - zvýraznenie2|60 % - zvýraznenie3|60 % - zvýraznenie4|60 % - zvýraznenie5|60 % - zvýraznenie6|Zvýraznenie1|Zvýraznenie2|Zvýraznenie3|Zvýraznenie4|Zvýraznenie5|Zvýraznenie6|Zlá|Výpočet|Kontrolná bunka|Čiarka|Čiarka [0]|Mena|Mena [0]|Vysvetľujúci text|Dobrá|Nadpis 1|Nadpis 2|Nadpis 3|Nadpis 4|Vstup|Prepojená bunka|Neutrálna|Normálna|Poznámka|Výstup|Percentá|Názov|Spolu|Text upozornenia
1052|20% - Theksi1|20% - Theksi2|20% - Theksi3|20% - Theksi4|20% - Theksi5|20% - Theksi6|40% - Theksi1|40% - Theksi2|40% - Theksi3|40% - Theksi4|40% - Theksi5|40% - Theksi6|60% - Theksi1|60% - Theksi2|60% - Theksi3|60% - Theksi4|60% - Theksi5|60% - Theksi6|Theksi1|Theksi2|Theksi3|Theksi4|Theksi5|Theksi6|I pavlerë|Llogaritje|Zgjidh qelizën|Presje|Presje [0]|Valutë|Valutë [0]|Tekst shpjegues|Mirë|Kokëzimi 1|Kokëzimi 2|Kokëzimi 3|Kokëzimi 4|Hyrje|Qeliza e lidhur|Neutral|Normal|Shënim|Dalje|Përqindje|Titull|Totali|Teksti i paralajmërimit
1053|20 % - Dekorfärg1|20 % - Dekorfärg2|20 % - Dekorfärg3|20 % - Dekorfärg4|20 % - Dekorfärg5|20 % - Dekorfärg6|40 % - Dekorfärg1|40 % - Dekorfärg2|40 % - Dekorfärg3|40 % - Dekorfärg4|40 % - Dekorfärg5|40 % - Dekorfärg6|60 % - Dekorfärg1|60 % - Dekorfärg2|60 % - Dekorfärg3|60 % - Dekorfärg4|60 % - Dekorfärg5|60 % - Dekorfärg6|Dekorfärg1|Dekorfärg2|Dekorfärg3|Dekorfärg4|Dekorfärg5|Dekorfärg6|Dålig|Beräkning|Kontrollcell|Tusental|Tusental [0]|Valuta|Valuta [0]|Förklarande text|Bra|Rubrik 1|Rubrik 2|Rubrik 3|Rubrik 4|Indata|Länkad cell|Neutral|Normal|Anteckning|Utdata|Procent|Rubrik|Summa|Varningstext
1054|20% - ส่วนที่ถูกเน้น1|20% - ส่วนที่ถูกเน้น2|20% - ส่วนที่ถูกเน้น3|20% - ส่วนที่ถูกเน้น4|20% - ส่วนที่ถูกเน้น5|20% - ส่วนที่ถูกเน้น6|40% - ส่วนที่ถูกเน้น1|40% - ส่วนที่ถูกเน้น2|40% - ส่วนที่ถูกเน้น3|40% - ส่วนที่ถูกเน้น4|40% - ส่วนที่ถูกเน้น5|40% - ส่วนที่ถูกเน้น6|60% - ส่วนที่ถูกเน้น1|60% - ส่วนที่ถูกเน้น2|60% - ส่วนที่ถูกเน้น3|60% - ส่วนที่ถูกเน้น4|60% - ส่วนที่ถูกเน้น5|60% - ส่วนที่ถูกเน้น6|ส่วนที่ถูกเน้น1|ส่วนที่ถูกเน้น2|ส่วนที่ถูกเน้น3|ส่วนที่ถูกเน้น4|ส่วนที่ถูกเน้น5|ส่วนที่ถูกเน้น6|แย่|การคำนวณ|เซลล์ตรวจสอบ|จุลภาค|จุลภาค [0]|สกุลเงิน|สกุลเงิน [0]|ข้อความอธิบาย|ดี|หัวเรื่อง 1|หัวเรื่อง 2|หัวเรื่อง 3|หัวเรื่อง 4|ป้อนค่า|เซลล์ที่มีลิงก์|ปานกลาง|ปกติ|หมายเหตุ|แสดงผล|เปอร์เซ็นต์|ชื่อเรื่อง|ผลรวม|ข้อความเตือน
1055|%20 - Vurgu1|%20 - Vurgu2|%20 - Vurgu3|%20 - Vurgu4|%20 - Vurgu5|%20 - Vurgu6|%40 - Vurgu1|%40 - Vurgu2|%40 - Vurgu3|%40 - Vurgu4|%40 - Vurgu5|%40 - Vurgu6|%60 - Vurgu1|%60 - Vurgu2|%60 - Vurgu3|%60 - Vurgu4|%60 - Vurgu5|%60 - Vurgu6|Vurgu1|Vurgu2|Vurgu3|Vurgu4|Vurgu5|Vurgu6|Kötü|Hesaplama|İşaretli Hücre|Virgül|Binlik Ayracı [0]|ParaBirimi|ParaBirimi [0]|Açıklama Metni|İyi|Başlık 1|Başlık 2|Başlık 3|Başlık 4|Giriş|Bağlı Hücre|Nötr|Normal|Not|Çıkış|Yüzde|Ana Başlık|Toplam|Uyarı Metni
1056|‏20% - لہجہ1|‏20% - لہجہ2|‏20% - لہجہ3|‏20% - لہجہ4|‏20% - لہجہ5|‏20% - لہجہ6|‏40% - لہجہ1|‏40% - لہجہ2|‏40% - لہجہ3|‏40% - لہجہ4|‏40% - لہجہ5|‏40% - لہجہ6|‏60% - لہجہ1|‏60% - لہجہ2|‏60% -لہجہ3|‏60% - لہجہ4|‏60% - لہجہ5|‏60% - لہجہ6|لہجہ1|لہجہ2|لہجہ3|لہجہ4|لہجہ5|لہجہ6|برا|حساب|پڑتال سيل|کاما|کومہ [0]|سکہ|کرنسی [0]|وضاحتى متن|اچھا|سرخى 1|سرخى 2|سرخى 3|سرخى 4|ان پٹ|ربط شدہ سيل|غير جانبدار|عام|نوٹ|آؤٹ پٹ|فى صد|عنوان|مجموعہ|انتباہيہ متن
1057|20% - Aksen1|20% - Aksen2|20% - Aksen3|20% - Aksen4|20% - Aksen5|20% - Aksen6|40% - Aksen1|40% - Aksen2|40% - Aksen3|40% - Aksen4|40% - Aksen5|40% - Aksen6|60% - Aksen1|60% - Aksen2|60% - Aksen3|60% - Aksen4|60% - Aksen5|60% - Aksen6|Aksen1|Aksen2|Aksen3|Aksen4|Aksen5|Aksen6|Buruk|Perhitungan|Sel Periksa|Koma|Koma [0]|Mata Uang|Mata Uang [0]|Teks Penjelasan|Baik|Judul 1|Judul 2|Judul 3|Judul 4|Masukan|Sel Tertaut|Netral|Normal|Catatan|Keluaran|Persen|Judul|Total|Teks Peringatan
1058|20% – колірна тема 1|20% – колірна тема 2|20% – колірна тема 3|20% – колірна тема 4|20% – колірна тема 5|20% – колірна тема 6|40% – колірна тема 1|40% – колірна тема 2|40% – колірна тема 3|40% – колірна тема 4|40% – колірна тема 5|40% – колірна тема 6|60% – колірна тема 1|60% – колірна тема 2|60% – колірна тема 3|60% – колірна тема 4|60% – колірна тема 5|60% – колірна тема 6|Колірна тема 1|Колірна тема 2|Колірна тема 3|Колірна тема 4|Колірна тема 5|Колірна тема 6|Поганий|Обчислення|Контрольна клітинка|Фінансовий|Фінансовий [0]|Грошовий|Грошовий [0]|Текст пояснення|Гарний|Заголовок 1|Заголовок 2|Заголовок 3|Заголовок 4|Ввід|Зв'язана клітинка|Нейтральний|Звичайний|Примітка|Результат|Відсотковий|Назва|Підсумок|Текст попередження
1059|20% — акцэнт1|20% — акцэнт2|20% — акцэнт3|20% — акцэнт4|20% — акцэнт5|20% — акцэнт6|40% — акцэнт1|40% — акцэнт2|40% — акцэнт3|40% — акцэнт4|40% — акцэнт5|40% — акцэнт6|60% — акцэнт1|60% — акцэнт2|60% — акцэнт3|60% — акцэнт4|60% — акцэнт5|60% — акцэнт6|Акцэнт1|Акцэнт2|Акцэнт3|Акцэнт4|Акцэнт5|Акцэнт6|Дрэнны|Вылічэнне|Кантрольная  ячэйка|Коска|Фінансавы [0]|Грашовы|Грашовы [0]|Тлумачэнне|Добры|Загаловак 1|Загаловак 2|Загаловак 3|Загаловак 4|Увод|Звязаная ячэйка|Нейтральны|Звычайны|Заўвага|Вывад|Працэнт|Пасада|Вынік|Тэкст папярэджання
